,Q,I(Q),Error,dQ
0,0.003,46.035283813999996,2.017157,0.001513193
1,0.00310651,57.369293813999995,1.540781,0.001507993
2,0.003216802,53.530493813999996,1.150536,0.001510134
3,0.003331009,47.829883814,1.309499,0.001511244
4,0.003449271,49.727103813999996,1.186781,0.001513405
5,0.003571732,48.491663814,1.174318,0.001512378
6,0.00369854,47.097823813999995,0.9532988,0.001517482
7,0.003829851,46.221133814,1.125761,0.00151742
8,0.003965823,44.276193813999996,0.8898924,0.001521784
9,0.004106624,43.114113814,0.8652667,0.001522469
10,0.004252422,44.918403813999994,0.8648339,0.001525058
11,0.004403398,41.677703814,0.7629687,0.001527089
12,0.004559733,41.886373813999995,0.8066117,0.001530004
13,0.004721619,42.801413814,0.6925593,0.001533969
14,0.004889253,41.170383814,0.6929513,0.00153569
15,0.005062837,41.678883813999995,0.6641535,0.001538918
16,0.005242585,41.204093814,0.6318968,0.001542866
17,0.005428715,41.495043814,0.5886144,0.001546943
18,0.005621452,40.719963813999996,0.5757841,0.001550849
19,0.005821033,40.734543814,0.5730358,0.001554126
20,0.006027699,41.468333814,0.5312199,0.001559578
21,0.006241703,40.270663813999995,0.4899405,0.001564672
22,0.006463304,39.474253813999994,0.516119,0.001569456
23,0.006692773,39.548103813999994,0.4454614,0.001575018
24,0.006930389,39.253183813999996,0.4572199,0.001581299
25,0.007176441,39.506603813999995,0.4313402,0.001587214
26,0.007431229,38.168213814,0.3979181,0.001594324
27,0.007695063,38.729163813999996,0.394359,0.001602324
28,0.007968263,39.665813813999996,0.3971677,0.001609457
29,0.008251164,38.952033813999996,0.3651471,0.001617749
30,0.008544108,39.510773814,0.3642298,0.001626824
31,0.008847452,39.684143813999995,0.3467045,0.001636231
32,0.009161567,38.938523814,0.3360989,0.00164616
33,0.009486833,39.366723814,0.3217661,0.00165669
34,0.009823647,39.413843813999996,0.3133799,0.001668431
35,0.01017242,39.204603813999995,0.3060689,0.001679984
36,0.01053358,39.289553813999994,0.2923196,0.001693013
37,0.01090755,39.114213813999996,0.279957,0.001707007
38,0.01129481,38.754413813999996,0.2641243,0.001721788
39,0.01169581,38.863903814,0.2677132,0.001737104
40,0.01211105,38.215883813999994,0.244079,0.001754133
41,0.01254103,37.927853813999995,0.2409964,0.001771657
42,0.01298628,38.459333814,0.2336147,0.001790334
43,0.01344734,37.944463813999995,0.2336791,0.001810084
44,0.01392477,37.965493814,0.2298918,0.001830393
45,0.01441914,37.204913813999994,0.2194842,0.001853069
46,0.01493107,36.921583813999995,0.2161568,0.001876625
47,0.01546117,37.155413814,0.2143385,0.001901061
48,0.0160101,36.93456381399999,0.2037029,0.001927791
49,0.01657851,36.445953814,0.2008109,0.001955893
50,0.0171671,36.408483814,0.1944111,0.001984939
51,0.01777659,35.881583813999995,0.1862344,0.002016295
52,0.01840772,35.565363813999994,0.1863145,0.002048655
53,0.01906126,35.200623814,0.1761982,0.002082967
54,0.019738,34.933213814,0.1699496,0.002119916
55,0.02043876,34.471573813999996,0.1649274,0.00215833
56,0.02116441,34.390413814,0.1601407,0.002198872
57,0.02191581,33.960743814,0.1547058,0.002241422
58,0.0226939,33.469393814,0.150544,0.002286007
59,0.02349961,33.082533813999994,0.1449802,0.002332696
60,0.02433392,32.559653813999994,0.1395041,0.002381598
61,0.02519786,32.109183814,0.1325907,0.002433876
62,0.02553234,32.961463814,0.2085631,0.002457721
63,0.02609247,31.686233814,0.1291631,0.002488548
64,0.02643882,32.642093814,0.2464474,0.002511598
65,0.02701884,31.249103814,0.1246376,0.00254546
66,0.02737749,31.247633814,0.2101,0.002559731
67,0.0279781,30.401553814,0.1195282,0.002605312
68,0.02834948,30.772703814,0.1782611,0.002628712
69,0.02897142,30.265633814,0.1150317,0.002668314
70,0.02935599,29.573443814,0.1724494,0.00269434
71,0.03,29.615463814,0.1115111,0.002733808
72,0.03039822,30.031933814000002,0.1837361,0.002756315
73,0.0310651,29.246263814,0.1110299,0.002801219
74,0.03147746,29.191753814000002,0.1522198,0.002824182
75,0.03216802,28.311373814,0.1116467,0.002872889
76,0.03259502,28.241053814,0.1524789,0.002900692
77,0.03331009,27.578473814,0.1170334,0.00294759
78,0.03375225,27.534893814,0.137071,0.002980509
79,0.03449271,26.960363814,0.1194577,0.003026034
80,0.03495057,26.317843814,0.1318957,0.003061436
81,0.03571732,26.307633814,0.1193354,0.003108504
82,0.03619143,25.576563814,0.1330893,0.003140117
83,0.0369854,25.289853814,0.117515,0.003193781
84,0.03747635,25.842783814,0.1192105,0.003224134
85,0.03829851,24.580883814,0.114506,0.003282793
86,0.03880688,23.648713814,0.1089201,0.003315284
87,0.03965823,23.678183814,0.1116051,0.003375783
88,0.04018466,23.041973814000002,0.104884,0.003411152
89,0.04106624,22.510613814,0.1076526,0.003472153
90,0.04161135,21.790053814,0.0932229,0.003505345
91,0.04252422,21.557973814,0.1046506,0.00357276
92,0.04308869,20.990813814,0.08747119,0.003612527
93,0.04403398,20.476683814,0.1006059,0.003678261
94,0.04461849,19.659213814,0.08708481,0.003716726
95,0.04559733,19.335623814,0.09646392,0.00378839
96,0.04620259,18.668213814,0.0767636,0.003828302
97,0.04721619,18.204803814,0.0930415,0.003902669
98,0.04784294,17.096443814,0.07020484,0.003947426
99,0.04889253,16.829793814000002,0.08855134,0.004020729
100,0.04954153,16.047303814,0.06721952,0.004070566
101,0.05062837,15.929933813999998,0.08464831,0.004143872
102,0.05130042,15.175133813999999,0.06240606,0.004195427
103,0.05242585,14.511273813999999,0.08018156,0.004272425
104,0.05312176,13.801013814,0.05613563,0.004323669
105,0.05428715,13.527043813999999,0.07616232,0.004406009
106,0.05500776,12.477933813999998,0.05133871,0.004459905
107,0.05696072,11.365843813999998,0.04764589,0.004600223
108,0.05898301,10.186363813999998,0.04335638,0.004746485
109,0.06107711,9.257022813999999,0.03954772,0.004898359
110,0.06324555,8.276732813999999,0.03557986,0.005058418
111,0.06549098,7.422841814000001,0.0326804,0.005219311
112,0.06781613,6.525031814,0.02901874,0.005390257
113,0.07022383,5.753794814000001,0.02702579,0.00556942
114,0.07271702,5.058723814,0.02420821,0.005751239
115,0.07529872,4.437986814,0.02173914,0.005942302
116,0.07797207,3.847955814,0.01954777,0.006139712
117,0.08074035,3.358380814,0.01781545,0.006344458
118,0.0836069,2.850597814,0.01576304,0.00655793
119,0.08657523,2.484321814,0.01422455,0.006778799
120,0.08964894,2.134300814,0.01290516,0.007005501
121,0.09283178,1.808361814,0.01149709,0.007244866
122,0.09612762,1.4965168139999998,0.01037856,0.007496026
123,0.09954047,1.2927278139999998,0.009175129,0.007748622
