,Q,I(Q),Error,dQ
0,0.003,40.652028963,1.923938,0.001513193
1,0.00310651,50.448398963,1.45418,0.001507993
2,0.003216802,45.332188963,1.076187,0.001510134
3,0.003331009,39.643038963,1.215058,0.001511244
4,0.003449271,44.109938963,1.122498,0.001513405
5,0.003571732,39.759038963,1.079894,0.001512378
6,0.00369854,37.785948963,0.8674899,0.001517482
7,0.003829851,36.684918963,1.021222,0.00151742
8,0.003965823,39.510758963,0.8415293,0.001521784
9,0.004106624,35.926858963,0.7965516,0.001522469
10,0.004252422,38.263548963,0.8025554,0.001525058
11,0.004403398,36.029368963,0.7108799,0.001527089
12,0.004559733,35.158328963,0.7442822,0.001530004
13,0.004721619,34.102158963,0.6218284,0.001533969
14,0.004889253,33.497328963,0.6319327,0.00153569
15,0.005062837,34.645628963,0.6081749,0.001538918
16,0.005242585,32.911988963,0.567792,0.001542866
17,0.005428715,33.589808963,0.5329533,0.001546943
18,0.005621452,34.652708963,0.5305735,0.001550849
19,0.005821033,33.152338963,0.5167311,0.001554126
20,0.006027699,33.407128963,0.4780659,0.001559578
21,0.006241703,33.107968963,0.4447208,0.001564672
22,0.006463304,33.810888963000004,0.4768067,0.001569456
23,0.006692773,33.057288963,0.4068663,0.001575018
24,0.006930389,32.727798963,0.4164818,0.001581299
25,0.007176441,32.473898963,0.3891294,0.001587214
26,0.007431229,31.878678963,0.3620973,0.001594324
27,0.007695063,32.562588963,0.3593306,0.001602324
28,0.007968263,32.797528963,0.3598427,0.001609457
29,0.008251164,32.512518963,0.3310544,0.001617749
30,0.008544108,33.153458963,0.3316659,0.001626824
31,0.008847452,32.547398963,0.3120493,0.001636231
32,0.009161567,32.602478963,0.3058078,0.00164616
33,0.009486833,32.605028963,0.2907342,0.00165669
34,0.009823647,32.647338963,0.2834008,0.001668431
35,0.01017242,33.505038963,0.2819613,0.001679984
36,0.01053358,32.753338963,0.2652733,0.001693013
37,0.01090755,32.629138963,0.2538763,0.001707007
38,0.01129481,32.314128963,0.2391111,0.001721788
39,0.01169581,32.812808963,0.2442731,0.001737104
40,0.01211105,32.614848963,0.2243345,0.001754133
41,0.01254103,32.528398963,0.2213411,0.001771657
42,0.01298628,32.011018963,0.2118594,0.001790334
43,0.01344734,32.050538963,0.2133301,0.001810084
44,0.01392477,31.671708963,0.2085293,0.001830393
45,0.01441914,31.530658963,0.2005729,0.001853069
46,0.01493107,31.801108963,0.199342,0.001876625
47,0.01546117,31.383178963,0.195691,0.001901061
48,0.0160101,31.457258963,0.1864856,0.001927791
49,0.01657851,30.860768963,0.1835806,0.001955893
50,0.0171671,30.759528963,0.1775779,0.001984939
51,0.01777659,30.845548963,0.1716114,0.002016295
52,0.01840772,30.542788963,0.1716293,0.002048655
53,0.01906126,30.547618963,0.1631375,0.002082967
54,0.019738,30.406198963,0.1575797,0.002119916
55,0.02043876,29.794268963,0.152419,0.00215833
56,0.02116441,30.189158963,0.1492327,0.002198872
57,0.02191581,29.673958963,0.1436072,0.002241422
58,0.0226939,29.588138963,0.140619,0.002286007
59,0.02349961,29.647178963,0.1363541,0.002332696
60,0.02433392,29.038018963,0.1307287,0.002381598
61,0.02519786,28.714948963,0.1245757,0.002433876
62,0.02553234,29.734838963,0.1957908,0.002457721
63,0.02609247,28.586338963,0.1218814,0.002488548
64,0.02643882,29.235808963,0.2301093,0.002511598
65,0.02701884,28.219598963,0.1176066,0.00254546
66,0.02737749,28.334538963,0.1977356,0.002559731
67,0.0279781,27.909958963,0.1137396,0.002605312
68,0.02834948,28.621188963,0.1699824,0.002628712
69,0.02897142,27.753258963,0.1093974,0.002668314
70,0.02935599,27.371998963,0.1641725,0.00269434
71,0.03,27.264438963,0.1061979,0.002733808
72,0.03039822,27.851758963,0.1750977,0.002756315
73,0.0310651,26.777108963,0.1052953,0.002801219
74,0.03147746,27.190738963,0.1454803,0.002824182
75,0.03216802,26.366808963,0.1069768,0.002872889
76,0.03259502,26.584208963000002,0.1466951,0.002900692
77,0.03331009,26.030048963,0.1129488,0.00294759
78,0.03375225,26.061198963,0.1320223,0.002980509
79,0.03449271,25.498818963,0.115349,0.003026034
80,0.03495057,24.978318963,0.127198,0.003061436
81,0.03571732,24.743018963,0.114889,0.003108504
82,0.03619143,24.128528963,0.1279224,0.003140117
83,0.0369854,24.239978963,0.1141651,0.003193781
84,0.03747635,24.609068963,0.1154267,0.003224134
85,0.03829851,23.220318963,0.1103394,0.003282793
86,0.03880688,22.486768963,0.1052639,0.003315284
87,0.03965823,22.457718963,0.1079171,0.003375783
88,0.04018466,22.188688963,0.1019511,0.003411152
89,0.04106624,21.748938963,0.1050554,0.003472153
90,0.04161135,20.702148963,0.09010326,0.003505345
91,0.04252422,20.794558963,0.1020254,0.00357276
92,0.04308869,20.307028963,0.08534793,0.003612527
93,0.04403398,19.910128963000002,0.09841672,0.003678261
94,0.04461849,19.186068963,0.08537343,0.003716726
95,0.04559733,18.743828963,0.0942317,0.00378839
96,0.04620259,18.093048963,0.07495299,0.003828302
97,0.04721619,17.622778963000002,0.09087163,0.003902669
98,0.04784294,16.592718963,0.06858414,0.003947426
99,0.04889253,16.353478963,0.08657494,0.004020729
100,0.04954153,15.368368963,0.06525692,0.004070566
101,0.05062837,15.339328963,0.08244018,0.004143872
102,0.05130042,14.390358963,0.06019781,0.004195427
103,0.05242585,14.025248963000001,0.07821032,0.004272425
104,0.05312176,13.168888963,0.05441064,0.004323669
105,0.05428715,13.092228963,0.07446629,0.004406009
106,0.05500776,11.951498963,0.04982249,0.004459905
107,0.05696072,10.797938963,0.04607758,0.004600223
108,0.05898301,9.665854963000001,0.04187778,0.004746485
109,0.06107711,8.626957963,0.0378538,0.004898359
110,0.06324555,7.751114963,0.03414544,0.005058418
111,0.06549098,6.949476963,0.03140559,0.005219311
112,0.06781613,5.969173963,0.02750273,0.005390257
113,0.07022383,5.299980963,0.02574323,0.00556942
114,0.07271702,4.650163963000001,0.02302207,0.005751239
115,0.07529872,4.125410963,0.0208072,0.005942302
116,0.07797207,3.5412139629999997,0.01859292,0.006139712
117,0.08074035,3.112627963,0.01704065,0.006344458
118,0.0836069,2.663008963,0.01511079,0.00655793
119,0.08657523,2.295618963,0.01356103,0.006778799
120,0.08964894,1.9801529629999999,0.01232965,0.007005501
121,0.09283178,1.6954859629999999,0.01105135,0.007244866
122,0.09612762,1.432445963,0.01006358,0.007496026
123,0.09954047,1.2264659629999999,0.008844629,0.007748622
124,0.1030745,1.013936963,0.007912763,0.008014773
125,0.106734,0.837087163,0.007029785,0.008289495
126,0.1105234,0.698992463,0.006580523,0.008567608
127,0.1110336,0.711015663,0.009649966,0.008614772
128,0.1144474,0.573960063,0.006311685,0.00886534
129,0.1149757,0.539327063,0.008692393,0.008924887
130,0.1185106,0.462521863,0.005880577,0.009173548
131,0.1190577,0.450674063,0.007440072,0.009234509
132,0.1227181,0.386011763,0.005630316,0.009488799
133,0.1232847,0.366232663,0.00666706,0.00952782
134,0.1270751,0.303152763,0.005459733,0.009815042
135,0.1276617,0.289365963,0.005666575,0.009845932
136,0.1315866,0.239943563,0.005497254,0.01015387
137,0.1321941,0.241134363,0.004689267,0.01021008
138,0.1362584,0.193567463,0.005635123,0.01050603
139,0.1368875,0.176218663,0.004391895,0.01057004
140,0.1417474,0.144340863,0.00373035,0.01092857
141,0.1467799,0.107286463,0.003440625,0.01131424
142,0.1519911,0.086741853,0.00308987,0.01171196
143,0.1573873,0.069045293,0.002989799,0.01211849
144,0.1629751,0.053561003,0.002660405,0.01254002
145,0.1687612,0.046984853,0.002651757,0.01296579
146,0.1747528,0.038766433,0.002248869,0.01343093
147,0.1809572,0.035350633,0.002205057,0.01391864
148,0.1873817,0.027316153,0.002131008,0.01440304
149,0.1940344,0.025925143,0.001966557,0.01490583
150,0.2009233,0.020191933,0.001884664,0.0154289
151,0.2080568,0.015870143,0.001836654,0.01595851
152,0.2154435,0.018449753,0.001683155,0.0165235
153,0.2230924,0.014395083,0.001623646,0.01710901
154,0.231013,0.012638358000000002,0.001541007,0.01770908
155,0.2392147,0.009468973000000002,0.001516438,0.01833145
156,0.2477076,0.009885191000000002,0.001554827,0.01898701
157,0.2565021,0.0052842290000000005,0.001370719,0.01965108
158,0.2656088,0.006003401,0.001320738,0.02034976
159,0.2750388,0.006192501,0.00127798,0.02106439
160,0.2848036,0.002965237,0.001197433,0.02181197
161,0.2949151,0.0044879546,0.001161661,0.02258594
162,0.3053856,0.0039613276999999995,0.001106085,0.02337493
163,0.3162278,0.0034706071999999998,0.001064066,0.02420434
164,0.3274549,0.0048331254,0.001037685,0.02505845
165,0.3390807,0.001,0.0009602309,0.02595083
166,0.3511192,0.002279777,0.0009515842,0.02686891
167,0.3635851,0.002013009,0.0009050786,0.02781426
168,0.3764936,0.002535729,0.0008643856,0.02880679
169,0.3898604,0.0023956380000000003,0.0008365079,0.0298226
170,0.4037017,0.0024643,0.000803689,0.0308792
171,0.4180345,0.001599558,0.0007746263,0.0319721
172,0.4328761,0.001935305,0.0007856149,0.0330975
173,0.4482447,0.002818788,0.0007890033,0.03426929
174,0.4641589,0.0030927710000000002,0.0007796449,0.03548185
175,0.4806381,0.002806084,0.0007599919,0.03674285
176,0.4977024,0.0036267722,0.000765515,0.03804929
177,0.5153725,0.0037904591,0.0007459153,0.03939005
178,0.5336699,0.0037153229,0.0007388384,0.04079984
179,0.552617,0.0038766153,0.0007306052,0.04224216
180,0.5722368,0.003002152,0.0007205065,0.04374469
181,0.5925531,0.002392826,0.0007080699,0.04529269
182,0.6135907,0.0035640641,0.0007041568,0.04689931
183,0.6353753,0.0037123592,0.0006900671,0.04855586
184,0.6579332,0.0035819819,0.00067817,0.05029373
185,0.6812921,0.0032181486,0.0006716568,0.05207215
186,0.7054802,0.0032879505,0.0006575864,0.053912
187,0.7305272,0.0037588605,0.0006490234,0.05583243
188,0.7564633,0.005226145,0.0006415842,0.05780915
189,0.7833203,0.0046885014,0.00062738,0.05986148
190,0.8111308,0.0044445219,0.0006139528,0.06198873
191,0.8399287,0.0050140714,0.0006101269,0.06419723
192,0.869749,0.0036918077,0.0005953725,0.06646002
193,0.900628,0.004329955700000001,0.001061723,0.06814894
