,Q,I(Q),Error,dQ
0,0.003,273.08873882119997,2.021049,0.001513193
1,0.00310651,296.69243882119997,1.456653,0.001507993
2,0.003216802,279.5572388212,1.095236,0.001510134
3,0.003331009,265.2833388212,1.256371,0.001511244
4,0.003449271,255.6720388212,1.109127,0.001513405
5,0.003571732,243.55163882120002,1.080971,0.001512378
6,0.00369854,231.2079388212,0.8687782,0.001517482
7,0.003829851,214.48503882120002,1.005594,0.00151742
8,0.003965823,210.54483882120002,0.8000725,0.001521784
9,0.004106624,188.83363882120003,0.7526804,0.001522469
10,0.004252422,182.2772388212,0.7279042,0.001525058
11,0.004403398,166.7372388212,0.6334586,0.001527089
12,0.004559733,158.88913882120002,0.6567062,0.001530004
13,0.004721619,149.56113882120002,0.5429343,0.001533969
14,0.004889253,139.1817388212,0.5361357,0.00153569
15,0.005062837,131.0155388212,0.496016,0.001538918
16,0.005242585,120.3977388212,0.4558338,0.001542866
17,0.005428715,115.5004388212,0.4143201,0.001546943
18,0.005621452,107.2225388212,0.3940419,0.001550849
19,0.005821033,99.5305788212,0.3775229,0.001554126
20,0.006027699,92.8366788212,0.3364028,0.001559578
21,0.006241703,87.7250488212,0.3054163,0.001564672
22,0.006463304,81.9324788212,0.3132371,0.001569456
23,0.006692773,75.9118888212,0.2596483,0.001575018
24,0.006930389,70.2553388212,0.2564871,0.001581299
25,0.007176441,65.5179388212,0.2331564,0.001587214
26,0.007431229,60.5198288212,0.2101907,0.001594324
27,0.007695063,57.276148821199996,0.2005803,0.001602324
28,0.007968263,54.2227188212,0.1939824,0.001609457
29,0.008251164,50.3833688212,0.1727856,0.001617749
30,0.008544108,47.7077788212,0.1664393,0.001626824
31,0.008847452,45.0537888212,0.1536307,0.001636231
32,0.009161567,41.7875488212,0.1449513,0.00164616
33,0.009486833,38.9510188212,0.132904,0.00165669
34,0.009823647,36.7218588212,0.1257398,0.001668431
35,0.01017242,34.2472088212,0.1188856,0.001679984
36,0.01053358,32.075038821199996,0.1097064,0.001693013
37,0.01090755,29.9151188212,0.1016849,0.001707007
